Compound Name (384),TimTech ID,Custom TT 96 Position,TT 384 Custom LDV Position,Primary FRET Screen Avg %,Reorder FRET Screen (10uM) Average %,IC50 Curve FRET (10uM) Avg %,NSP15 FRET (10uM) Average % ,SARS FRET (10uM) Average %,OC43 FRET (10uM) Average %,MERS FRET (10uM) Average %,229E FRET (10uM) Average %,MHV FRET (10uM) Average %,A549 CTG Toxicity (20uM) % DMSO,A549 CTG Toxicity Repeat (10uM) % DMSO,OC43 A549 (10uM) Low MOI %Virus,OC43 A549 (10uM) Low MOI %Cells,OC43 A549 (10uM) High MOI %Virus,OC43 A549 (10uM) High MOI %Cells,SARS-CoV-2 A549 (10uM) Low MOI %Virus,SARS-CoV-2 A549 (10uM) Low MOI %Cells,Estimated IC50 (From 4 Point Curve)
118-M13,ST012018,P1-D10,G19,45.9,88.0,62.3,98.4,93.6,85.8,87.1,96.5,93.0,75.4,123.7,79.9,110.6,100.1,110.5,75.5,128.0,
87-I6,ST056996,P1-A8,A15,8.2,88.8,79.9,101.3,95.9,87.6,77.4,81.1,95.3,71.0,114.6,87.6,114.6,104.3,132.4,91.6,121.7,
17-G18,ST082942,P1-H3,O5,59.4,89.5,105.6,95.5,75.0,101.3,97.0,96.1,82.3,103.7,86.8,92.1,100.2,135.0,124.3,125.2,127.1,
23-E20,ST000613,P1-E8,I15,50.0,89.8,97.2,92.5,85.7,92.1,98.1,96.7,85.7,89.6,119.1,125.1,123.8,135.3,120.1,181.7,141.4,
4-B15,ST047887,P1-G11,M21,58.5,90.0,98.6,93.3,87.8,82.6,78.0,96.8,83.8,94.8,98.8,61.5,104.6,52.0,72.1,85.6,89.5,
132-A16,ST082260,P2-B7,C14,62.4,90.3,86.8,91.0,87.9,88.5,95.5,87.4,80.5,92.4,76.0,118.3,128.0,119.3,126.6,135.4,120.4,
115-C7,S500704,P1-F12,K23,56.3,90.4,90.9,93.8,92.3,92.8,89.2,99.2,87.8,92.2,103.5,71.6,111.7,54.6,52.2,106.9,91.2,
7-P4,ST066699,P1-G5,M9,57.3,91.6,90.1,93.8,83.6,95.9,71.2,93.5,85.6,97.5,117.5,74.0,107.2,78.6,89.2,54.8,51.5,
141-O6,ST095273,P2-C2,E4,7.3,92.3,104.1,94.4,82.3,107.8,88.4,97.9,82.8,97.3,84.7,93.1,90.8,118.4,93.4,112.3,109.6,
3-J10,ST034056,P1-C11,E21,39.8,92.4,100.0,90.6,94.3,91.1,85.3,96.8,93.0,86.2,103.1,72.6,151.3,94.9,116.0,89.3,108.1,
95-C17,ST069093,P1-H7,O13,60.8,92.5,107.0,94.5,81.3,97.5,96.2,98.5,78.3,94.3,96.3,102.3,111.5,113.0,99.0,184.4,113.5,
104-E3,L320129,P1-F4,K7,54.7,93.4,93.7,96.7,83.8,104.2,102.6,100.3,86.5,119.0,125.0,72.5,109.1,103.0,81.7,104.1,141.9,
76-I07,ST041914,P2-A4,A8,65.5,95.5,104.5,91.4,82.1,86.8,98.3,89.3,79.1,92.2,90.3,122.6,94.2,160.6,134.7,200.1,95.4,
119-P20,ST027545,P1-G7,M13,57.8,95.6,101.1,87.9,86.1,95.8,99.1,101.1,84.6,85.6,111.2,70.1,108.1,84.1,96.8,41.6,63.8,
10-J11,ST071688,P2-B2,C4,65.7,95.8,120.7,96.9,83.7,102.7,92.4,95.4,85.9,102.8,70.9,73.1,97.9,125.3,125.0,86.5,108.5,
156-M6,ST104405,P2-D7,G14,49.4,96.5,107.9,95.7,94.9,80.2,87.9,99.5,75.9,97.9,100.3,101.1,128.3,109.1,93.0,120.4,118.8,
56-F17,ST011984,P1-F8,K15,55.6,96.7,85.7,92.2,95.8,85.2,78.5,105.9,84.0,92.7,104.5,1282.8,82.9,684.2,40.5,2511.9,43.3,
99-I7,ST073707,P1-G6,M11,57.4,97.2,104.2,89.8,84.3,95.7,93.4,99.5,87.0,105.6,118.8,67.4,91.1,84.4,87.3,50.1,48.5,
112-I14,ST085646,P2-B9,C18,36.8,97.3,121.3,90.2,95.1,90.2,88.8,92.6,92.9,86.1,97.1,102.0,97.5,111.5,113.5,147.3,106.1,
82-E20,ST051023,P1-F2,K3,53.7,98.1,105.4,91.8,82.4,99.2,106.1,99.7,82.5,106.3,121.7,58.9,105.5,85.1,103.0,114.3,97.0,
6-I3,ST056982,P1-C8,E15,35.6,99.3,106.5,93.1,98.0,100.7,100.8,98.2,93.0,91.2,118.0,77.5,124.2,104.6,131.5,106.0,137.6,
55-K15,ST008168,P1-G8,M15,57.9,99.7,88.3,91.2,92.3,98.5,98.4,103.2,87.5,108.0,111.8,67.2,99.2,84.3,99.8,74.2,82.8,
23-E18,ST093060,P2-B11,C22,63.9,100.5,113.3,98.2,99.9,94.3,93.3,97.7,99.5,85.0,93.5,60.4,125.5,70.5,104.0,112.7,106.9,
10-H7,ST071649,P2-A11,A22,63.3,100.7,123.2,102.2,101.7,94.2,91.1,98.1,103.0,84.8,102.7,107.7,91.3,92.9,95.6,111.2,108.8,
27-N8,ST072425,P2-B3,C6,61.8,102.7,122.5,89.2,85.5,99.4,92.8,94.9,85.3,98.7,81.4,93.4,98.6,134.5,124.0,135.4,120.3,
136-H11,ST085854,P1-F10,K19,55.9,102.7,92.9,98.4,97.8,102.9,100.7,105.1,94.6,109.7,118.4,75.4,131.1,83.3,97.0,88.3,124.7,
17-I16,ST082932,P1-E5,I9,49.3,103.1,99.3,94.8,87.0,111.6,108.2,103.1,87.4,92.6,125.0,84.3,129.5,105.6,123.3,89.8,136.7,
94-N14,ST068774,P1-D8,G15,45.4,105.3,109.6,94.6,94.9,98.6,91.0,98.8,92.6,91.4,115.5,81.9,116.1,104.6,117.0,87.6,131.1,
13-N19,ST076674,P2-B4,C8,63.7,105.7,107.2,91.4,89.5,100.0,95.4,95.5,86.6,100.6,91.5,104.5,93.0,149.8,122.4,109.5,89.4,
119-C14,ST024518,P1-B8,C15,20.0,105.8,117.9,95.5,100.5,89.5,97.2,100.5,94.3,76.8,120.3,85.4,122.5,123.2,138.3,100.1,126.5,
62-F22,ST024334,P2-A3,A6,65.8,106.0,105.4,92.8,90.6,100.2,88.4,94.5,86.6,97.6,91.4,102.4,99.9,134.6,132.2,117.9,124.4,
159-C11,ST082651,P2-B8,C16,8.1,106.3,126.8,91.5,97.4,91.3,94.8,96.5,93.5,91.5,88.1,108.3,102.6,119.2,117.9,148.6,115.4,
90-K7,ST059888,P2-A10,A20,63.0,108.8,122.7,102.2,100.3,97.9,96.4,97.0,101.4,80.9,102.4,90.2,112.8,114.6,110.7,131.7,115.3,
62-J10,ST024156,P1-A9,A17,8.2,110.2,94.6,105.3,102.6,91.3,88.4,98.4,100.6,75.7,104.9,97.0,134.3,97.2,121.0,92.0,112.6,
6-M13,ST058342,P2-A7,A14,62.0,110.3,111.1,100.4,101.8,102.5,97.5,96.5,98.5,93.9,90.9,106.2,114.5,138.3,125.6,147.1,113.2,
12-H6,ST074518,P1-D7,G13,45.3,111.2,118.2,88.3,93.8,106.4,98.4,102.0,90.2,93.5,111.5,80.0,132.7,116.6,128.0,117.9,138.6,
41-K06,ST50663560,P1-A3,A5,5.7,111.3,105.3,98.6,89.6,105.6,98.2,98.3,87.6,79.5,106.5,92.2,122.7,111.4,124.5,60.8,88.9,
15-N14,ST080683,P2-B6,C12,63.3,112.1,105.2,96.8,98.0,102.8,100.8,100.1,93.5,105.6,84.5,109.4,121.7,129.6,108.4,157.7,121.0,
